"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle Sant Francesc 3"	"Carrer Sant Francesc 3"					
"Calle Sant Francesc 4"	"Carrer Sant Francesc 4"					
"Calle Sant Francesc 5"	"Carrer Sant Francesc 5"					
"Calle Sant Francesc 2"	"Carrer Sant Francesc 2"					
"Calle Sant Francesc 6"	"Carrer Sant Francesc 6"					
"Calle de Lluís Tur i Palau"	"Carrer de Lluís Tur i Palau"					
"Calle Floridablanca"	"Carrer Floridablanca"					
"Callejón de la Esperanza"	"Callejón de la Esperanza"					
"Calle Alt"	"Carrer Alt"					
"Calle Racó Santa Llúcia"	"Carrer Racó Santa Llúcia"					
"Callejón De L'Estrella"	"Callejón De L'Estrella"					
"Calle Del Retir"	"Carrer Del Retir"					
"Calle Bisbe Torres Mayans"	"Carrer Bisbe Torres Mayans"					
"Calle Sant Pere"	"Carrer Sant Pere"					
"Callejón De La Soledat"	"Callejón De La Soledat"					
"Calle de Palencia"	"Carrer de Palencia"					
"Calle Santa Rosalia"	"Carrer Santa Rosalia"					
"Calle Puig d'en Tries"	"Carrer Puig d'en Tries"					
"Calle de l'Arrapatxita"	"Carrer de l'Arrapatxita"					
"Calle Kurt Hopert"	"Carrer Kurt Hopert"					
