"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"
"Calle San Bartolomé"	"Carrer San Bartolomé"					
"Calle Maestro Navarro"	"Carrer Maestro Navarro"					
"Calle Padre Francisco Agullo"	"Carrer Padre Francisco Agullo"					
"Calle Padre Balaguer"	"Carrer Padre Balaguer"					
"Calle Jesus del Huetro"	"Carrer Jesus del Huetro"					
"Calle Angeles Custodios"	"Carrer Angeles Custodios"					
"Calle Tejar"	"Carrer Tejar"					
"Calle Virgen"	"Carrer Virgen"					
"Calle Guadalet"	"Carrer Guadalet"					
"Calle Obispo"	"Carrer Obispo"					
"Calle San Isidro"	"Carrer San Isidro"					
"Calle San Agustín"	"Carrer San Agustín"					
"Calle Maestro Valls"	"Carrer Maestro Valls"					
"Calle San Pedro"	"Carrer San Pedro"					
"Calle Santo Tomas"	"Carrer Santo Tomas"					
"Calle Jose Reig"	"Carrer Jose Reig"					
"Calle San Roque"	"Carrer San Roque"					
"Calle San Josè"	"Carrer San Josè"					
