"# Generated by write_osm_objects_report from LangToolsOSM 0.0.15 with parameters: lang=ca, extra_tag=('name:ca', 'alt_name:ca', 'alt_name'), area=['name:ca'='l\'Horta Oest'][admin_level=7], filters=nwr[name~'^[Pp]laza'][!'name:ca']"	""	""	""	""	""	""	""	""	""	""
"typeOSM"	"idOSM"	"name"	"name:ca"	"alt_name:ca"	"alt_name"	"translations"	"ca.wikipedia_page"	"wikidata_id"	"multilang_names"	"all_tags"
"node"	"7231375789"	"Plaza España / Barranquet"	""	""	""	""	""	""	""	"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Plaza España / Barranquet', 'network': 'MetroBus', 'operator': 'Fernanbús', 'public_transport': 'platform', 'shelter': 'yes', 'source': 'https://www.fernanbus.es/'}"
"node"	"1344834624"	"Plaza Valldecabres"	""	""	""	""	""	""	""	"{'bus': 'yes', 'highway': 'bus_stop', 'name': 'Plaza Valldecabres', 'network': 'MetroBus', 'operator': 'FernanBus', 'public_transport': 'platform', 'shelter': 'yes', 'source': 'https://www.fernanbus.es/'}"
"way"	"32401935"	"Plaza de la Victoria"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Plaza de la Victoria', 'oneway': 'no'}"
"way"	"39690608"	"Plaza de Rafael Atard"	""	""	""	""	""	""	""	"{'name': 'Plaza de Rafael Atard', 'place': 'square'}"
"way"	"366894727"	"Plaza Vicente Barberá Armelles"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Plaza Vicente Barberá Armelles'}"
"way"	"366894742"	"Plaza Vicente Barberá Armelles"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Plaza Vicente Barberá Armelles'}"
"way"	"366894760"	"Plaza de la Flor"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Plaza de la Flor'}"
"way"	"714887145"	"Plaza Vicente Barberá Armelles"	""	""	""	""	""	""	""	"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaza Vicente Barberá Armelles', 'place': 'square'}"
"way"	"40922592"	"Plaza Corazón de Jesús"	""	""	""	""	""	""	""	"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaza Corazón de Jesús'}"
"way"	"366894736"	"Plaza Corazón de Jesús"	""	""	""	""	""	""	""	"{'highway': 'residential', 'name': 'Plaza Corazón de Jesús'}"
"way"	"366894754"	"Plaza Corazón de Jesús"	""	""	""	""	""	""	""	"{'highway': 'residential', 'historic': 'yes', 'name': 'Plaza Corazón de Jesús'}"
"way"	"187249890"	"Plaza el Barranquet"	""	""	""	""	""	""	""	"{'area': 'yes', 'highway': 'unclassified', 'name': 'Plaza el Barranquet'}"
"way"	"45061679"	"Plaza Puerta del Sol"	""	""	""	""	""	""	""	"{'area': 'yes', 'motor_vehicle': 'yes', 'name': 'Plaza Puerta del Sol'}"
"way"	"226796159"	"Plaza Puerta del Sol"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lit': 'yes', 'name': 'Plaza Puerta del Sol', 'oneway': 'yes', 'surface': 'asphalt'}"
"way"	"155002486"	"Plaza de los Derechos Humanos"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Plaza de los Derechos Humanos'}"
"way"	"155002488"	"Plaza de los Derechos Humanos"	""	""	""	""	""	""	""	"{'area': 'yes', 'highway': 'pedestrian', 'name': 'Plaza de los Derechos Humanos'}"
"way"	"155002520"	"Plaza de los Derechos Humanos"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Plaza de los Derechos Humanos'}"
"way"	"155002531"	"Plaza de los Derechos Humanos"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Plaza de los Derechos Humanos'}"
"way"	"28665685"	"Plaza Gerardo Salvador"	""	""	""	""	""	""	""	"{'highway': 'pedestrian', 'name': 'Plaza Gerardo Salvador'}"
"way"	"142411610"	"Plaza Gerardo Salvador"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Plaza Gerardo Salvador', 'oneway': 'no', 'sidewalk': 'both'}"
"way"	"142946886"	"Plaza Gerardo Salvador"	""	""	""	""	""	""	""	"{'highway': 'unclassified', 'name': 'Plaza Gerardo Salvador'}"
"way"	"171905831"	"Plaza Gerardo Salvador"	""	""	""	""	""	""	""	"{'highway': 'residential', 'lanes': '1', 'name': 'Plaza Gerardo Salvador', 'oneway': 'no', 'sidewalk': 'both'}"
"way"	"914821092"	"Plaza de España"	""	""	""	""	""	""	""	"{'access': 'no', 'bicycle': 'yes', 'foot': 'yes', 'highway': 'living_street', 'name': 'Plaza de España', 'oneway': 'no'}"
"way"	"915062981"	"Plaza de España"	""	""	""	""	""	""	""	"{'area': 'yes', 'highway': 'pedestrian', 'lit': 'yes', 'name': 'Plaza de España'}"
